Sample ID,Name_InPheno,Name_InGeno,Chosen Reason,Plate,Location,Region,Parent
SL-FI-1-MG-10,SL18-FI-1-MG10,SL18-FI-1-MG10,Diversity,1_2,FI,SNE,SL18-FI-1
SL-SF-19-MG-1,SL18-SF-19-MG1,SL18-SF-19-MG1,Diversity,1_2,SF,GOM,SL18-SF-19
SL-JS-19-FG-2,SL18-JS-19-FG2,SL18-JS-19-FG2,Diversity,1_2,JS,GOM,SL18-JS-19
SL-LD-5-FG-2,SL18-LD-5-FG2,SL18-LD-5-FG2,Diversity,1_2,LD,GOM,SL18-LD-5
SA-CB-4-MG-1,SA18-CB-4-MG1,SA18-CB-4-MG1,Diversity,1_2,CB,GOM,SA18-CB-4
SL-FW-21-MG-2,SL18-FW-21-MG2,SL18-FW-21-MG2,Diversity,1_2,FW,SNE,SL18-FW-21
SL-LD-9-MG-2,SL18-LD-9-MG2,SL18-LD-9-MG2,Diversity,1_2,LD,GOM,SL18-LD-9
SL-BL-16-MG-2,SL18-BL-16-MG2,SL18-BL-16-MG2,Diversity,1_2,BL,SNE,SL18-BL-16
SL-FI-2-MG-1,SL18-FI-2-MG1,SL18-FI-2-MG1,Diversity,1_2,FI,SNE,SL18-FI-2
SL-SF-19-MG-2,SL18-SF-19-MG2,SL18-SF-19-MG2,Diversity,1_2,SF,GOM,SL18-SF-19
SL-LD-10-FG-1,SL18-LD-10-FG1,SL18-LD-10-FG1,Diversity,1_2,LD,GOM,SL18-LD-10
SL-LD-9-FG-2,SL18-LD-9-FG2,SL18-LD-9-FG2,Diversity,1_2,LD,GOM,SL18-LD-9
SA-CB-4-MG-3,SA18-CB-4-MG3,SA18-CB-4-MG3,Diversity,1_2,CB,GOM,SA18-CB-4
SL-FW-12-MG-2,SL18-FW-12-MG2,SL18-FW-12-MG2,Diversity,1_2,FW,SNE,SL18-FW-12
SL-LD-9-MG-1,SL18-LD-9-MG1,SL18-LD-9-MG1,Diversity,1_2,LD,GOM,SL18-LD-9
SL-BL-17-MG-2,SL18-BL-17-MG2,SL18-BL-17-MG2,Diversity,1_2,BL,SNE,SL18-BL-17
SL-NL-2-MG-2,SL18-NL-2-MG2,SL18-NL-2-MG2,Diversity,1_2,NL,GOM,SL18-NL-2
SA-CB-4-FG-3,SA18-CB-4-FG3,SA18-CB-4-FG3,Diversity,1_2,CB,GOM,SA18-CB-4
SL-LD-10-FG-2,SL18-LD-10-FG2,SL18-LD-10-FG2,Diversity,1_2,LD,GOM,SL18-LD-10
SL-LD-9-FG-3,SL18-LD-9-FG3,SL18-LD-9-FG3,Diversity,1_2,LD,GOM,SL18-LD-9
SA-CB-5-MG-3,SA18-CB-5-MG3,SA18-CB-5-MG3,Diversity,1_2,CB,GOM,SA18-CB-5
SL-JS-11-MG-2,SL18-JS-11-MG2,SL18-JS-11-MG2,Diversity,1_2,JS,GOM,SL18-JS-11
SL-LL-9-MG-4,SL18-LL-9-MG4,SL18-LL-9-MG4,Diversity,1_2,LL,GOM,SL18-LL-9
SL-BL-18-MG-3,SL18-BL-18-MG3,SL18-BL-18-MG3,Diversity,1_2,BL,SNE,SL18-BL-18
SL-OD-3-MG-2,SL18-OD-3-MG2,SL18-OD-3-MG2,Diversity,1_2,OD,GOM,SL18-OD-3
SA-CB-5-FG-1,SA18-CB-5-FG1,SA18-CB-5-FG1,Diversity,1_2,CB,GOM,SA18-CB-5
SA-CB-7-FG-3,SA18-CB-7-FG3,SA18-CB-7-FG3,Diversity,1_2,CB,GOM,SA18-CB-7
SL-LL-9-FG-3,SL18-LL-9-FG3,SL18-LL-9-FG3,Diversity,1_2,LL,GOM,SL18-LL-9
SA-CB-7-MG-1,SA18-CB-7-MG1,SA18-CB-7-MG1,Diversity,1_2,CB,GOM,SA18-CB-7
SL-JS-16-MG-2,SL18-JS-16-MG2,SL18-JS-16-MG2,Diversity,1_2,JS,GOM,SL18-JS-16
SL-NC-10-MG-3,SL18-NC-10-MG3,SL18-NC-10-MG3,Diversity,1_2,NC,GOM,SL18-NC-10
SL-CC-8-MG-3,SL18-CC-8-MG3,SL18-CC-8-MG3,Diversity,1_2,CC,GOM,SL18-CC-8
SL-OI-11-MG-2,SL18-OI-11-MG2,SL18-OI-11-MG2,Diversity,1_2,OI,GOM,SL18-OI-11
SA-CB-5-FG-5,SA18-CB-5-FG5,SA18-CB-5-FG5,Diversity,1_2,CB,GOM,SA18-CB-5
SL-LD-10-FG-3,SL18-LD-10-FG3,SL18-LD-10-FG3,Diversity,1_2,LD,GOM,SL18-LD-10
SL-NL-10-FG-2,SL18-NL-10-FG2,SL18-NL-10-FG2,Diversity,1_2,NL,GOM,SL18-NL-10
SA-CB-7-MG-2,SA18-CB-7-MG2,SA18-CB-7-MG2,Diversity,1_2,CB,GOM,SA18-CB-7
SL-JS-19-MG-2,SL18-JS-19-MG2,SL18-JS-19-MG2,Diversity,1_2,JS,GOM,SL18-JS-19
SL-NC-11-MG-3,SL18-NC-11-MG3,SL18-NC-11-MG3,Diversity,1_2,NC,GOM,SL18-NC-11
SL-CC-9-MG-4,SL18-CC-9-MG4,SL18-CC-9-MG4,Diversity,1_2,CC,GOM,SL18-CC-9
SL-OI-14-MG-2,SL18-OI-14-MG2,SL18-OI-14-MG2,Diversity,1_2,OI,GOM,SL18-OI-14
SL-BL-10-FG-2,SL18-BL-10-FG2,SL18-BL-10-FG2,Diversity,1_2,BL,SNE,SL18-BL-10
SL-LD-1-FG-1,SL18-LD-1-FG1,SL18-LD-1-FG1,Diversity,1_2,LD,GOM,SL18-LD-1
SL-BL-10-MG-1,SL18-BL-10-MG1,SL18-BL-10-MG1,Diversity,1_2,BL,SNE,SL18-BL-10
SL-JS-9-MG-1,SL18-JS-9-MG1,SL18-JS-9-MG1,Diversity,1_2,JS,GOM,SL18-JS-9
SL-NC-15-MG-1,SL18-NC-15-MG1,SL18-NC-15-MG1,Diversity,1_2,NC,GOM,SL18-NC-15
SL-LD-2-MG-3,SL18-LD-2-MG3,SL18-LD-2-MG3,Diversity,1_2,LD,GOM,SL18-LD-2
SL-OI-15-MG-1,SL18-OI-15-MG1,SL18-OI-15-MG1,Diversity,1_2,OI,GOM,SL18-OI-15
SL-BL-15-FG-1,SL18-BL-15-FG1,SL18-BL-15-FG1,Diversity,1_2,BL,SNE,SL18-BL-15
SL-LD-1-FG-2,SL18-LD-1-FG2,SL18-LD-1-FG2,Diversity,1_2,LD,GOM,SL18-LD-1
SL-NL-9-FG-2,SL18-NL-9-FG2,SL18-NL-9-FG2,Diversity,1_2,NL,GOM,SL18-NL-9
SL-BL-12-MG-2,SL18-BL-12-MG2,SL18-BL-12-MG2,Diversity,1_2,BL,SNE,SL18-BL-12
SL-NC-15-MG-4,SL18-NC-15-MG4,SL18-NC-15-MG4,Diversity,1_2,NC,GOM,SL18-NC-15
SL-LD-13-MG-2,SL18-LD-13-MG2,SL18-LD-13-MG2,Diversity,1_2,LD,GOM,SL18-LD-13
SL-SF-13-MG-3,SL18-SF-13-MG3,SL18-SF-13-MG3,Diversity,1_2,SF,GOM,SL18-SF-13
SL-BL-16-FG-3,SL18-BL-16-FG3,SL18-BL-16-FG3,Diversity,1_2,BL,SNE,SL18-BL-16
SL-LD-2-FG-2,SL18-LD-2-FG2,SL18-LD-2-FG2,Diversity,1_2,LD,GOM,SL18-LD-2
SL-SF-13-FG-1,SL18-SF-13-FG1,SL18-SF-13-FG1,Diversity,1_2,SF,GOM,SL18-SF-13
SL-CC-1-MG-3,SL18-CC-1-MG3,SL18-CC-1-MG3,Diversity,1_2,CC,GOM,SL18-CC-1
SL-LD-1-MG-3,SL18-LD-1-MG3,SL18-LD-1-MG3,Diversity,1_2,LD,GOM,SL18-LD-1
SL-NL-10-MG-2,SL18-NL-10-MG2,SL18-NL-10-MG2,Diversity,1_2,NL,GOM,SL18-NL-10
SL-FW-12-MG-11,SL18-FW-12-MG11,SL18-FW-12-MG11,Diversity,1_2,FW,SNE,SL18-FW-12
SL-SF-15-MG-2,SL18-SF-15-MG2,SL18-SF-15-MG2,Diversity,1_2,SF,GOM,SL18-SF-15
SL-CC-2-FG-1,SL18-CC-2-FG1,SL18-CC-2-FG1,Diversity,1_2,CC,GOM,SL18-CC-2
SL-LD-3-FG-1,SL18-LD-3-FG1,SL18-LD-3-FG1,Diversity,1_2,LD,GOM,SL18-LD-3
SL-SF-18-FG-1,SL18-SF-18-FG1,SL18-SF-18-FG1,Diversity,1_2,SF,GOM,SL18-SF-18
SL-CC-3-MG-1,SL18-CC-3-MG1,SL18-CC-3-MG1,Diversity,1_2,CC,GOM,SL18-CC-3
SL-LD-13-MG-3,SL18-LD-13-MG3,SL18-LD-13-MG3,Diversity,1_2,LD,GOM,SL18-LD-13
SL-NL-2-MG-1,SL18-NL-2-MG1,SL18-NL-2-MG1,Diversity,1_2,NL,GOM,SL18-NL-2
SA-CB-2-MG-3,SA18-CB-2-MG3,SA18-CB-2-MG3,Diversity,1_2,CB,GOM,SA18-CB-2
SA-CB-9-FG-1,SA18-CB-9-FG1,SA18-CB-9-FG1,Diversity,1_2,CB,GOM,SA18-CB-9
