"","pedigree","gpSex","WWP","DWpM","PDW","BDns","BLen","BMax","BThk","SLen","SDia"
"SL18-NC-5-FG2","SL18-NC-5-FG2","F",-0.65167212789276,-0.170810109171111,-0.60125026522981,-43.7645436822302,0.247906238202664,0.552397998729166,-0.457010186150964,-0.530365896927634,-1.00719608672575
"SL18-CC-6-FG3","SL18-CC-6-FG3","F",-0.137186281103009,-0.0809295707904807,-0.24241485318949,-50.1849624413197,-0.287708244962324,-0.167244240613887,0.0223658228242521,-0.24294668891822,0.22638789303689
"SL18-NL-7-FG4","SL18-NL-7-FG4","F",-0.365616563381316,-0.0945429622767684,0.195482633584041,-13.9947665657891,0.48011845134805,0.0221416593788358,-0.47486586223022,-0.59773171202686,-0.675934410947978
"SL18-NL-3-FG1","SL18-NL-3-FG1","F",-0.300655882700291,-0.147776062333444,-1.15747959730689,-25.1710431607241,0.0417892039005821,-0.110878933522512,0.0523318431621427,0.174998322840351,0.213093833601582
"SL18-CC-3-FG3","SL18-CC-3-FG3","F",0.340643381042165,0.120518445701457,0.203723971813934,-7.77978848858155,0.0707629161829808,0.0563414120979332,0.670724036801081,-0.425779000776894,0.762283071964773
"SL18-CC-6-FG2","SL18-CC-6-FG2","F",0.150315417213495,-0.00199366482755071,-0.862616139958879,1.09418015395677,-0.648237373499865,-0.272283043722694,0.257414016909047,-0.572487351864548,0.182854739723665
"SL18-JS-19-FG3","SL18-JS-19-FG3","F",-0.435355766560199,-0.148802960667194,-0.115521502239149,-97.9478282656371,0.0936141680358351,0.136008085807799,0.11426697886803,0.150737261854492,-0.120989160633755
"SL18-NC-1-FG1","SL18-NC-1-FG1","F",-0.285713394806557,-0.0915797105249085,-0.209609740391008,-14.8356124912462,0.196076126439073,0.198640714456887,-0.994253368785646,-0.714190505227638,-0.694216850942319
"SL18-NC-15-FG3","SL18-NC-15-FG3","F",-0.112119502475605,-0.0392868292434149,-0.216511989110658,62.6709317084699,-0.627878977388935,0.127142880756546,0.5445170966221,-0.0952216591336655,1.13952360571841
"SL18-LL-9-FG2","SL18-LL-9-FG2","F",-0.33620238509956,-0.0849680930102265,-0.480741146542926,23.6870795331284,-0.0803175671443506,0.297031891789572,0.441552005459912,0.66151233874891,0.951694691095621
"SA18-CB-4-FG6","SA18-CB-4-FG6","F",0.240231867912901,0.0994223070598093,-0.338393726160388,-23.7073390374482,0.376726298001089,0.0588653991020286,-0.441635889144439,-1.22006971653557,-0.668499906332121
"SA18-CB-5-FG6","SA18-CB-5-FG6","F",0.0724776549064229,0.00790033796058005,0.283116771238887,-71.0565857138495,-0.328223922021639,0.0176649189626976,0.291637603037063,0.738016087445266,0.313970010617836
"SL18-OI-17-FG1","SL18-OI-17-FG1","F",0.0369838580064645,0.0176216099958945,-0.015898946981972,-6.55420217031353,0.00607753234524209,-0.0667726590002747,0.141120438646356,-0.0558272905679044,0.274346754738016
"SL18-JS-9-FG3","SL18-JS-9-FG3","F",-0.523806321501024,-0.181173436972909,-0.461329736566308,-53.6153828870761,-0.00430850584451801,0.0809115741850183,-0.185768387196237,0.0749411071680468,-0.382276255447612
"SL18-SF-13-FG2","SL18-SF-13-FG2","F",0.68311435517967,0.187022070351668,-0.401132377306745,58.9117110738427,-0.118520822854568,-0.186216382924044,0.352393890548916,-0.0720582963300207,0.33460889976961
"SL18-JS-19-FG2","SL18-JS-19-FG2","F",-0.36044622025611,-0.137096910076972,0.0923320582053915,-90.1624573271664,0.206333976690575,0.352108181917797,-0.737283785027024,0.350071906663752,-1.06914124111278
"SL18-CC-6-FG1","SL18-CC-6-FG1","F",-0.157656188985265,-0.0516755498580442,-0.457297802956799,-14.1876206480462,-0.950056698650948,-0.269624956056399,0.168634133567011,0.217109820623775,0.55670998374627
"SL18-NL-5-FG1","SL18-NL-5-FG1","F",-0.199810340240538,-0.049647932716713,0.279982966182165,-11.2477021700204,0.372258100103061,-0.218542333228795,0.00701982481124957,-0.466078772385937,-0.686904305800041
"SL18-NC-8-FG1","SL18-NC-8-FG1","F",-0.309708503884971,-0.102321986000446,0.767443418894984,-47.7944369780064,0.0887107688594884,0.0161391251087858,-0.127610017967036,0.157067847140395,-0.224674894373159
"SL18-JS-5-FG2","SL18-JS-5-FG2","F",-0.327399120260951,-0.123676253118576,-0.733296126723787,-51.5814088776589,-0.0192263175322797,0.119733916393752,0.234499363498586,0.0758466961157705,0.326406990387406
"SL18-CC-10-FG4","SL18-CC-10-FG4","F",0.323643102946973,0.104122098131452,0.24355407551448,3.63787848586535,0.31585512932257,0.0572827152459532,-0.727156622032212,-0.0587712962256371,-0.768686573848732
"SL18-NC-5-FG3","SL18-NC-5-FG3","F",-0.481107045535835,-0.137595857346297,-0.5058624772514,-16.527933773005,0.549007613969682,0.220258761851138,-0.574660664347462,-0.0512730472306918,-0.979674893786019
"SL18-OI-16-FG2","SL18-OI-16-FG2","F",-0.279178677550975,-0.0861937937517183,0.423845066925978,-14.5357167211199,0.190982966956021,0.0784849287455156,-0.296965018642177,-0.572069604968128,-0.167683036145799
"SA18-CB-7-FG1","SA18-CB-7-FG1","F",0.138047784022088,0.0846904454130683,0.65436381835846,22.6306285667675,0.429599361229231,0.149074912138329,-0.386820048678858,0.0474951326251113,-0.250188457246885
"SL18-CC-1-MG3","SL18-CC-1-MG3","M",0.271880541284587,0.0825811047502775,0.0570121009547832,4.62305229828522,-0.098492947694262,0.105457387837415,0.411516283917368,-0.265812721133655,0.0380017421127224
"SL18-NC-10-MG3","SL18-NC-10-MG3","M",-0.312242600425954,-0.144250108238858,-1.6177504297376,-25.9546527095956,0.0118574848941144,-0.175903864010898,-0.0389439766270828,0.699232359486878,-0.178677041840955
"SA18-CB-7-MG3","SA18-CB-7-MG3","M",0.352008292635852,0.171523762876636,0.715589843900121,53.6408273240623,0.457347804268324,-0.0188323740801451,0.733012680441378,0.546132202428155,0.568663300907347
"SL18-OI-16-MG1","SL18-OI-16-MG1","M",-0.319485316081134,-0.131502529273429,0.368344092477035,-22.8594021240937,0.434707357349804,0.242441148728903,0.452708972099158,-0.31453884604237,0.17696071407018
"SL18-NL-2-MG1","SL18-NL-2-MG1","M",-0.438819617913649,-0.15637251874681,-0.0668335864859877,-56.5942708216089,-0.245178876331069,-0.0790700030768069,0.109841810625152,0.325094929546407,0.196295466465548
"SA18-CB-10-MG1","SA18-CB-10-MG1","M",0.262790874740238,0.155481265330433,-0.216535557467889,-25.3297413365476,-0.163162656951337,0.118019316434744,0.37685705205409,-0.944415766039602,1.0159974469313
"SL18-LD-13-MG2","SL18-LD-13-MG2","M",-0.32475768941041,-0.0857066924367069,-0.142428143029188,11.9238712287347,0.415073615524234,0.322090121322198,-0.616099528803556,0.510402428960902,-0.986046108882451
"SL18-OI-14-MG1","SL18-OI-14-MG1","M",-0.0250922952172804,0.026900403973236,0.0926717697449789,-52.8465121411121,0.56835417252086,-0.335907967526563,-0.209871556067169,0.121911114418148,0.183368520259227
"SL18-CC-3-MG1","SL18-CC-3-MG1","M",0.0353563113400711,0.042158500999533,0.166561983576467,-23.8989886703576,-0.245481528041141,0.0351554282081849,-0.265535877604857,0.346883112329657,-0.340431915700652
"SA18-CB-3-MG3","SA18-CB-3-MG3","M",0.265863436302974,0.123332558690781,-0.719076370002784,175.415619978086,0.030096888091961,0.0387551100821823,0.0172742759215179,-0.612308222444574,-0.169879466894118
"SL18-CC-4-MG11","SL18-CC-4-MG11","M",-0.041672054627889,-0.0181308334706651,-0.173194843616372,-30.6587386214119,0.111323634853614,-0.110941748114366,-0.25313061074314,-0.718738970529896,-0.363925530223936
"SL18-JS-16-MG1","SL18-JS-16-MG1","M",-0.130948156707376,-0.0746431642841974,0.107532464211584,-54.9200504845814,-0.0246232520044484,-0.102455782556349,0.150636491170249,0.57990367658405,0.299404324304191
"SA18-CB-4-MG3","SA18-CB-4-MG3","M",-0.0309188885727928,-0.00675379958498337,-0.673662780203493,-28.9924125369289,0.241969988277829,-0.320300029322717,0.047912466071284,-0.57760022415298,0.367858022913979
"SL18-CC-8-MG2","SL18-CC-8-MG2","M",-0.189474589608384,-0.0603153795655749,-0.409966036108795,4.56385439920304,0.212034351285496,-0.246325310325542,-0.0743445807387101,0.349604936273129,0.257146289797225
"SL18-OI-9-MG2","SL18-OI-9-MG2","M",-0.263148042415138,-0.0564008330639087,0.539018780460817,-8.75512422812771,0.249447697283295,-0.191994569098293,-0.288225710418772,-0.351362185799206,-0.378555771872273
"SL18-JS-5-MG3","SL18-JS-5-MG3","M",-0.117027925411603,-0.0513366451842952,-0.579679378004713,-35.8903311439774,0.218116503104312,-0.0241135588988543,0.188031484136316,-0.123056867059548,0.238797998626285
"SL18-JS-9-MG1","SL18-JS-9-MG1","M",-0.522527628359514,-0.162482982540381,-0.349216184895488,-55.6791126393898,0.146012957734768,0.0697872263791807,0.0180395743070108,0.0218454010697126,-0.452887252052947
"SA18-CB-2-MG3","SA18-CB-2-MG3","M",0.261998176023137,0.0736675914050588,-0.0289857582646707,-10.158322097181,-0.243137283503383,-0.0973293409859422,-0.2243081182769,-0.280950666881405,0.281449899593351
"SL18-OI-15-MG2","SL18-OI-15-MG2","M",0.357975005920793,0.119108984751912,0.483416120727441,-0.305819624195842,-0.244887321409285,-0.0695517227855846,0.518680616393623,0.612938175851419,0.504812105309554
"SL18-NC-1-MG1","SL18-NC-1-MG1","M",-0.248686680264157,-0.0808297177198499,-0.187216190296913,-8.99648488912257,-0.0870361863443296,0.207499719493037,-0.479789351119337,-1.06085255011153,-0.882841906679893
"SL18-LD-2-MG4","SL18-LD-2-MG4","M",0.0620583604103206,0.0160435689739247,-0.0659138607226195,-30.8711468084023,-0.270340906013405,-0.0561100391786737,0.537143200335056,0.172143840472963,0.73197064831222
"SA18-CB-1-MG12","SA18-CB-1-MG12","M",-0.251354031541278,-0.0608472782953264,0.29095743046099,-18.6787228507379,-0.0702899167214931,0.0485214137943292,0.488824395412303,0.202323959311988,0.313346768514877
"SL18-JS-5-MG2","SL18-JS-5-MG2","M",-0.174664600347338,-0.11218945890918,-1.47312980931259,-22.4864496303793,0.434458980170441,-0.275358101415533,0.386290365857009,-0.29469144720698,0.358393481813769
"SA18-CB-7-MG1","SA18-CB-7-MG1","M",0.0552145082988982,0.0582418464845952,0.764755431576428,-2.87446773675671,-0.0770440394318998,-0.143185918031867,0.464454474625785,-0.321983406696196,0.557321971136768
"SA18-CB-10-MG3","SA18-CB-10-MG3","M",0.223396878126665,0.151675004384513,0.0242684946870775,9.06380636168658,0.57562066399522,0.589650806528056,-0.384531070319822,-0.115091506298886,0.00748950239380797
"SL18-NC-9-MG1","SL18-NC-9-MG1","M",-0.11453579550528,-0.0554495305384685,0.822838537890634,-23.4571321746556,-0.664147149789433,-0.354511595353193,0.240354642589179,-0.0890047271600732,-0.207378022082094
"SA18-CB-4-MG1","SA18-CB-4-MG1","M",-0.110437699175016,-0.00841427411928134,-0.337694194290041,-31.3738482619536,0.431597675177117,-0.0618182909085051,-0.728756669914367,-0.363998484322239,-0.583416622310613
"SL18-JS-6-MG3","SL18-JS-6-MG3","M",0.488021588373172,0.186312262395538,1.89795587484091,-17.8299163835198,-0.93553640989963,-0.114314642658699,0.227106819431872,-0.0324972819840927,0.0925652910407475
